scheduler,dag_type,cluster,n_tasks,n_edges,ccr,edge_density,seed,makespan,speedup,efficiency,imbalance,slr,runtime_ms,seq_time,cp_length
HEFT,random,homogeneous,10,10,0.1,0.2,0,34.23622791178133,3.210913367567189,0.8027283418917972,0.2501623487352595,0.7670425206868601,0.24777400000175476,109.92956185701557,44.63406784949023
CPOP,random,homogeneous,10,10,0.1,0.2,0,45.466075336746755,2.4178370585720623,0.6044592646430156,0.6948262510744573,1.0186406376864892,0.48368000000209577,109.92956185701557,44.63406784949023
HEFT-LC,random,homogeneous,10,10,0.1,0.2,0,34.768420829873904,3.161764590773744,0.790441147693436,0.090504698259008,0.7789659895467269,0.2572509999936301,109.92956185701557,44.63406784949023
Random,random,homogeneous,10,10,0.1,0.2,0,50.32248777454511,2.1845017350795963,0.5461254337698991,0.5866996021032135,1.127445697852069,0.05819999995537728,109.92956185701557,44.63406784949023
HEFT,random,cpu_gpu,10,10,0.1,0.2,0,13.38178871719839,8.214863063540463,2.0537157658851157,0.6259866361245151,0.2998110941248485,0.2133240000148362,109.92956185701557,44.63406784949023
CPOP,random,cpu_gpu,10,10,0.1,0.2,0,14.053867502663394,7.822014960378875,1.9555037400947188,0.6019122397182798,0.3148686234482189,0.5254199999740194,109.92956185701557,44.63406784949023
HEFT-LC,random,cpu_gpu,10,10,0.1,0.2,0,12.327217438660199,8.91762982230347,2.2294074555758674,0.6182076309261945,0.2761840457882664,0.24273899998661363,109.92956185701557,44.63406784949023
Random,random,cpu_gpu,10,10,0.1,0.2,0,50.15086383454526,2.1919774347195418,0.5479943586798854,0.731439499820938,1.1236005645655718,0.05244200002607613,109.92956185701557,44.63406784949023
HEFT,random,edge_cloud,10,10,0.1,0.2,0,26.879144688562715,4.089771573118227,1.0224428932795568,1.004069837450415,0.6022114045083548,0.26397999999971944,109.92956185701557,44.63406784949023
CPOP,random,edge_cloud,10,10,0.1,0.2,0,39.70439879625938,2.7686998214256353,0.6921749553564088,0.6389231816681925,0.8895536685149537,0.3560069999934967,109.92956185701557,44.63406784949023
HEFT-LC,random,edge_cloud,10,10,0.1,0.2,0,26.879144688562715,4.089771573118227,1.0224428932795568,1.004069837450415,0.6022114045083548,0.2685129999804303,109.92956185701557,44.63406784949023
Random,random,edge_cloud,10,10,0.1,0.2,0,97.14568833629787,1.131594862722704,0.282898715680676,0.4852277683251789,2.1764919268367198,0.05221700001811769,109.92956185701557,44.63406784949023
HEFT,random,highly_hetero,10,10,0.1,0.2,0,18.437196048361546,5.962379613942688,1.490594903485672,0.6850036720752133,0.4130745176651453,0.21414299999378272,109.92956185701557,44.63406784949023
CPOP,random,highly_hetero,10,10,0.1,0.2,0,25.852023861527332,4.252261348892356,1.063065337223089,0.6326718281640582,0.5791993673689455,0.41544399999793313,109.92956185701557,44.63406784949023
HEFT-LC,random,highly_hetero,10,10,0.1,0.2,0,16.81037744468241,6.539386888769077,1.6348467221922693,0.5813333287353837,0.37662660507145335,0.22880799997437862,109.92956185701557,44.63406784949023
Random,random,highly_hetero,10,10,0.1,0.2,0,59.27447806473394,1.854585066729073,0.46364626668226827,0.6777154465670358,1.3280097674406999,0.05913300003612676,109.92956185701557,44.63406784949023
HEFT,random,homogeneous,10,8,0.1,0.2,1,25.60668093365034,3.631882914698062,0.9079707286745154,0.4240891984239544,0.6280963416719605,0.20117899998695066,93.00046698504927,40.768715298494904
CPOP,random,homogeneous,10,8,0.1,0.2,1,31.84005029240831,2.9208643243639463,0.7302160810909866,0.4498120847621273,0.7809922402333777,0.3334310000013829,93.00046698504927,40.768715298494904
HEFT-LC,random,homogeneous,10,8,0.1,0.2,1,24.95287964803663,3.727043463393085,0.9317608658482712,0.12173690059838575,0.6120595036007387,0.25154599995858007,93.00046698504927,40.768715298494904
Random,random,homogeneous,10,8,0.1,0.2,1,46.06425140537116,2.018929303043125,0.5047323257607812,0.20175834119864708,1.1298921505891002,0.04728800001885247,93.00046698504927,40.768715298494904
